Series,Experiment,Source,Target,Complete,Parent,Source 1,Target 1,Source 2,Target 2,Best steps,Best BLEU ALL,Best CHRF3 ALL,Best WER ALL,Best TER ALL,Best spBLEU ALL,Last steps,Last BLEU ALL,Last CHRF3 ALL,Last WER ALL,Last TER ALL,Last spBLEU ALL
Sino-Tibetan,RelatedLanguage.PartialNT.Scenario1.PeekAhead,npi,taj,True,facebook/nllb-200-distilled-600M,npi-npiulb,taj-taj,npi-npiulb,lif-lifNT,17000,17.33,45.55,63.48,82.76,33.75,21000,17.43,45.29,63.37,82.25,33.89
Sino-Tibetan,RelatedLanguage.PartialNT.Scenario2.PeekAhead,npi,taj,True,facebook/nllb-200-distilled-600M,npi-npiulb,taj-taj,npi-npiulb,lif-lifNT,12000,18.04,47.98,63.22,79.58,35.96,16000,17.99,48.86,64.90,80.81,35.56
Sino-Tibetan,RelatedLanguage.PartialNT.Scenario3.PeekAhead,npi,taj,True,facebook/nllb-200-distilled-600M,npi-npiulb,taj-taj,npi-npiulb,lif-lifNT,13000,22.75,52.59,58.90,74.39,41.08,17000,22.70,52.43,58.80,74.01,40.79
Sino-Tibetan,SourceText.Greek.Scenario1,grc,taj,True,facebook/nllb-200-distilled-600M,grc-grcsbl,taj-taj,,,19000,13.36,38.98,69.41,89.07,27.33,,,,,,
Sino-Tibetan,SourceText.Greek.Scenario2,grc,taj,True,facebook/nllb-200-distilled-600M,grc-grcsbl,taj-taj,,,14000,14.77,43.86,66.55,83.78,31.51,18000,14.69,43.96,67.10,84.01,31.30
Sino-Tibetan,SourceText.Greek.Scenario3,grc,taj,True,facebook/nllb-200-distilled-600M,grc-grcsbl,taj-taj,,,9000,20.16,48.17,59.93,75.24,38.07,13000,19.85,49.86,62.25,78.31,37.40
Trans-NewGuinea,Overall.Run1,tpi,yut,True,facebook/nllb-200-distilled-600M,tpi-tpiOTNT,yut-yut,,,25000,31.64,60.06,47.95,61.56,48.97,29000,32.11,61.35,47.95,61.46,49.25
Trans-NewGuinea,Overall.Run2,tpi,yut,True,facebook/nllb-200-distilled-600M,tpi-tpiOTNT,yut-yut,,,17000,30.65,58.79,47.02,61.89,48.77,21000,31.33,59.17,46.77,61.84,48.96
Trans-NewGuinea,Overall.Run3,tpi,yut,True,facebook/nllb-200-distilled-600M,tpi-tpiOTNT,yut-yut,,,13000,32.45,60.18,48.00,61.35,49.28,15000,32.25,60.88,49.55,62.58,48.83
Trans-NewGuinea,Overall.Run4,tpi,yut,True,facebook/nllb-200-distilled-600M,tpi-tpiOTNT,yut-yut,,,22000,32.34,60.87,48.94,62.15,49.98,25000,33.18,60.69,47.15,60.63,50.82
Trans-NewGuinea,Overall.Run5,tpi,yut,True,facebook/nllb-200-distilled-600M,tpi-tpiOTNT,yut-yut,,,15000,31.31,58.87,48.95,61.01,49.02,,,,,,
Trans-NewGuinea,PartialNT.Scenario1,tpi,yut,True,facebook/nllb-200-distilled-600M,tpi-tpiOTNT,yut-yut,,,12000,15.00,41.16,63.03,80.19,29.51,16000,15.27,41.51,62.35,79.50,30.04
Trans-NewGuinea,PartialNT.Scenario2,tpi,yut,True,facebook/nllb-200-distilled-600M,tpi-tpiOTNT,yut-yut,,,11000,17.83,48.36,57.31,72.97,36.88,15000,18.13,49.19,58.21,73.96,36.52
Trans-NewGuinea,PartialNT.Scenario3,tpi,yut,True,facebook/nllb-200-distilled-600M,tpi-tpiOTNT,yut-yut,,,17000,23.43,54.73,53.93,68.67,42.16,19000,23.57,54.48,53.31,67.91,42.60
Trans-NewGuinea,RelatedLanguage.PartialNT.Scenario1.PeekAhead,tpi,yut,True,facebook/nllb-200-distilled-600M,tpi-tpiOTNT,yut-yut,tpi-tpiOTNT,nca-nca,30000,14.55,40.53,64.99,82.44,27.86,34000,14.27,40.95,66.73,84.26,27.18
Trans-NewGuinea,RelatedLanguage.PartialNT.Scenario2.PeekAhead,tpi,yut,True,facebook/nllb-200-distilled-600M,tpi-tpiOTNT,yut-yut,tpi-tpiOTNT,nca-nca,13000,16.23,47.99,61.26,77.69,33.94,17000,16.47,48.66,62.02,78.28,34.05
Trans-NewGuinea,RelatedLanguage.PartialNT.Scenario3.PeekAhead,tpi,yut,True,facebook/nllb-200-distilled-600M,tpi-tpiOTNT,yut-yut,tpi-tpiOTNT,nca-nca,16000,21.52,52.90,55.35,70.41,40.65,20000,21.34,53.39,56.09,71.10,40.43
Trans-NewGuinea,SourceText.Greek.Scenario1,grc,yut,True,facebook/nllb-200-distilled-600M,grc-grcsbl,yut-yut,,,11000,9.60,33.41,72.69,90.51,21.35,12000,9.46,33.79,73.81,91.54,20.93
Trans-NewGuinea,SourceText.Greek.Scenario2,grc,yut,True,facebook/nllb-200-distilled-600M,grc-grcsbl,yut-yut,,,11000,9.57,38.57,70.72,88.12,24.79,,,,,,
Trans-NewGuinea,SourceText.Greek.Scenario3,grc,yut,True,facebook/nllb-200-distilled-600M,grc-grcsbl,yut-yut,,,9000,13.67,42.78,64.84,80.44,31.23,13000,14.01,44.11,66.54,82.78,30.80
Written by F:/GitHub/davidbaines/textinfo/python/summarize_scores_multi.py,,,,,,,,,,,,,,,,,,,,,
